               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.040942,           0.0085478,           0.0073723,             0.50098,                   1,             0.99273,             0.60829,            0.021989,           0.0047168,           0.0033654,           0.0078022,           0.0078022,           0.0078022
                 113,            0.035958,            0.007601,           0.0070483,             0.99409,                   1,               0.995,             0.61699,            0.019272,           0.0044426,           0.0034029,           0.0077824,           0.0077824,           0.0077824
                 114,             0.03615,           0.0079298,           0.0076615,             0.70893,                   1,             0.90232,             0.48508,            0.024948,           0.0048331,           0.0035288,           0.0077626,           0.0077626,           0.0077626
                 115,            0.038783,            0.008114,           0.0081018,             0.73356,                   1,             0.89933,             0.51862,            0.021914,           0.0046586,           0.0035238,           0.0077428,           0.0077428,           0.0077428
                 116,             0.03745,           0.0081786,           0.0061462,             0.73356,                   1,             0.89933,             0.51862,            0.021914,           0.0046586,           0.0035238,            0.007723,            0.007723,            0.007723
                 117,            0.031543,           0.0097521,           0.0062569,             0.98729,                   1,               0.995,             0.70739,            0.016675,           0.0043642,           0.0036366,           0.0077032,           0.0077032,           0.0077032
                 118,             0.03255,           0.0076663,            0.012172,             0.67715,              0.9833,             0.83539,             0.46158,            0.024462,           0.0049199,            0.003575,           0.0076834,           0.0076834,           0.0076834
                 119,            0.035041,           0.0093107,            0.010291,             0.76585,                0.95,             0.93033,             0.65345,            0.022753,           0.0046666,           0.0036321,           0.0076636,           0.0076636,           0.0076636
                 120,            0.035346,           0.0096446,           0.0063677,             0.76585,                0.95,             0.93033,             0.65345,            0.022753,           0.0046666,           0.0036321,           0.0076438,           0.0076438,           0.0076438
                 121,            0.033029,           0.0077384,           0.0072068,             0.91697,             0.92514,             0.98875,             0.80893,            0.018722,           0.0045807,           0.0038761,            0.007624,            0.007624,            0.007624
                 122,            0.031481,           0.0083703,           0.0065538,              0.9864,                   1,               0.995,             0.75618,            0.015851,            0.004448,           0.0039406,           0.0076042,           0.0076042,           0.0076042
                 123,              0.0336,           0.0079644,           0.0097417,              0.8458,                   1,             0.87771,             0.51714,            0.021429,           0.0049552,            0.004037,           0.0075844,           0.0075844,           0.0075844
                 124,            0.034972,            0.008084,            0.011122,              0.8458,                   1,             0.87771,             0.51714,            0.021429,           0.0049552,            0.004037,           0.0075646,           0.0075646,           0.0075646
                 125,             0.03325,           0.0084725,           0.0080848,             0.99495,                   1,               0.995,             0.60992,            0.016461,           0.0045568,           0.0040327,           0.0075448,           0.0075448,           0.0075448
                 126,            0.030394,           0.0088694,           0.0088586,             0.96684,                   1,               0.995,              0.5346,            0.019813,           0.0047964,           0.0038718,            0.007525,            0.007525,            0.007525
                 127,              0.0346,           0.0078195,            0.011781,             0.77701,             0.84287,             0.90786,             0.57758,            0.021496,           0.0046909,           0.0038742,           0.0075052,           0.0075052,           0.0075052
                 128,             0.03598,           0.0080785,           0.0090028,             0.77701,             0.84287,             0.90786,             0.57758,            0.021496,           0.0046909,           0.0038742,           0.0074854,           0.0074854,           0.0074854
                 129,            0.032861,            0.008557,            0.013892,             0.99338,                   1,               0.995,             0.72272,            0.016359,           0.0045383,           0.0039179,           0.0074656,           0.0074656,           0.0074656
                 130,            0.035182,           0.0081465,           0.0098074,             0.83953,                   1,              0.9431,             0.47591,            0.022815,           0.0047514,           0.0038189,           0.0074458,           0.0074458,           0.0074458
                 131,            0.040341,           0.0081834,            0.010058,             0.99598,                   1,               0.995,             0.70965,            0.013244,           0.0043207,           0.0037381,            0.007426,            0.007426,            0.007426
                 132,            0.029151,           0.0078966,           0.0078607,             0.99598,                   1,               0.995,             0.70965,            0.013244,           0.0043207,           0.0037381,           0.0074062,           0.0074062,           0.0074062
                 133,            0.026495,           0.0087611,            0.009538,             0.99601,                   1,               0.995,             0.69659,            0.013791,           0.0041673,           0.0036121,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028278,           0.0097952,           0.0067999,             0.64837,                   1,             0.97895,             0.64524,            0.024564,           0.0050008,           0.0034945,           0.0073666,           0.0073666,           0.0073666
                 135,            0.041776,           0.0083859,           0.0084855,               0.993,                   1,               0.995,             0.62512,            0.020107,           0.0043354,           0.0033999,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028707,           0.0082333,           0.0072514,               0.993,                   1,               0.995,             0.62512,            0.020107,           0.0043354,           0.0033999,            0.007327,            0.007327,            0.007327
                 137,            0.025617,           0.0065954,            0.005688,             0.99689,                   1,               0.995,             0.74963,             0.01712,           0.0041979,            0.003357,           0.0073072,           0.0073072,           0.0073072
                 138,            0.031004,           0.0089379,           0.0060834,             0.99386,                   1,               0.995,             0.55131,            0.019403,           0.0045544,           0.0033297,           0.0072874,           0.0072874,           0.0072874
                 139,            0.044418,           0.0081472,           0.0066756,             0.99651,                   1,               0.995,             0.64285,            0.019323,           0.0044923,           0.0032528,           0.0072676,           0.0072676,           0.0072676
                 140,            0.032664,           0.0087798,           0.0069292,             0.99651,                   1,               0.995,             0.64285,            0.019323,           0.0044923,           0.0032528,           0.0072478,           0.0072478,           0.0072478
